Ref,Val,Package,PosX,PosY,Rot,Side
"R22","0,11R","R_1206_3216Metric",250.272500,-112.750000,0.000000,top
"R23","0,11R","R_1206_3216Metric",250.235000,-100.250000,0.000000,top
"R24","10k","R_0603_1608Metric",201.000000,-42.750000,180.000000,top
"R25","10k","R_0603_1608Metric",192.750000,-45.750000,-90.000000,top
"TH1","Thermistor_NTC","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",194.750000,-44.460000,-90.000000,top
"U1","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",211.500000,-100.000000,0.000000,top
"U2","TMC2209-LA","VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias",243.485000,-75.250000,0.000000,top
"U3","TMC2209-LA","VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias",243.485000,-86.500000,0.000000,top
"U4","LM2596S-3.3","TO-263-5_TabPin3",206.250000,-59.750000,0.000000,top
"U5","MX25L3233FM1","JEITA_SOIC-8_3.9x4.9mm_P1.27mm",211.000000,-87.000000,0.000000,top
"U6","TMC2209-LA","VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias",243.735000,-98.800000,0.000000,top
"U7","AMS1117-3.3","SOT-223-3_TabPin2",220.375000,-59.750000,0.000000,top
"U8","TMC2209-LA","VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias",243.735000,-110.750000,0.000000,top
"U9","PC817","DIP-4_W7.62mm",192.695000,-80.725000,0.000000,top
"U10","PC817","DIP-4_W7.62mm",200.305000,-93.775000,180.000000,top
"U11","AMS1117-3.3","SOT-223-3_TabPin2",187.000000,-114.000000,90.000000,top
"U12","TP4056-42-ESOP8","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",201.050000,-46.200000,0.000000,top
